Reading Airport file from airports.txt
Read Airports: There were 5740 Airports with IATA code
Reading Routes file from routes.txt
Read Routes: There were 68292 routes with IATA code
Calculating Page Rank
PageRank Result:
1 : 0.00620014031608 -> Los Angeles Intl, United States
2 : 0.00618423191049 -> Chicago Ohare Intl, United States
3 : 0.00595798527787 -> Denver Intl, United States
4 : 0.00505543723861 -> Heathrow, United Kingdom
5 : 0.00488266193483 -> Charles De Gaulle, France
6 : 0.00482199325931 -> Capital Intl, China
7 : 0.00476362903041 -> Frankfurt Main, Germany
8 : 0.00467603939643 -> Changi Intl, Singapore
9 : 0.0046660971068 -> Hartsfield Jackson Atlanta Intl, United States
10 : 0.00440645372635 -> John F Kennedy Intl, United States
11 : 0.00437061855978 -> Schiphol, Netherlands
12 : 0.00412092513045 -> Dallas Fort Worth Intl, United States
13 : 0.00402823257023 -> Sydney Intl, Australia
14 : 0.00396421621352 -> Incheon Intl, South Korea
15 : 0.00391845972093 -> Lester B Pearson Intl, Canada
16 : 0.0038959601356 -> Dubai Intl, United Arab Emirates
17 : 0.00384717740431 -> Domododevo, Russia
18 : 0.00380487478376 -> Barcelona, Spain
19 : 0.00380344072067 -> Pudong, China
20 : 0.00360027452592 -> Hong Kong Intl, Hong Kong
21 : 0.00359061054126 -> Ataturk, Turkey
22 : 0.00339039642826 -> Fiumicino, Italy
23 : 0.00331665481792 -> Gatwick, United Kingdom
24 : 0.00331543165312 -> Franz Josef Strauss, Germany
25 : 0.00328556716473 -> Suvarnabhumi Intl, Thailand
26 : 0.00323530185826 -> Miami Intl, United States
27 : 0.00318111056524 -> Barajas, Spain
28 : 0.0031779373849 -> San Francisco Intl, United States
29 : 0.00310816139539 -> Schwechat, Austria
30 : 0.00308008890338 -> Narita Intl, Japan
31 : 0.00304384001031 -> Kuala Lumpur Intl, Malaysia
32 : 0.0030403159131 -> George Bush Intercontinental, United States
33 : 0.00303289464709 -> Licenciado Benito Juarez Intl, Mexico
34 : 0.00299872259566 -> Seattle Tacoma Intl, United States
35 : 0.00297476686402 -> Charlotte Douglas Intl, United States
36 : 0.00295960138185 -> Indira Gandhi Intl, India
37 : 0.00292330406928 -> Baiyun Intl, China
38 : 0.00292219826504 -> Brisbane Intl, Australia
39 : 0.00291296044483 -> Eldorado Intl, Colombia
40 : 0.00289081901828 -> Pulkovo, Russia
41 : 0.00287966504855 -> Minneapolis St Paul Intl, United States
42 : 0.00283016061969 -> Mc Carran Intl, United States
43 : 0.00282619574065 -> Manchester, United Kingdom
44 : 0.00277407273542 -> Dusseldorf, Germany
45 : 0.00276478220401 -> Ninoy Aquino Intl, Philippines
46 : 0.00276069647382 -> Son Sant Joan, Spain
47 : 0.00272652815265 -> Brussels Natl, Belgium
48 : 0.00270828487647 -> Newark Liberty Intl, United States
49 : 0.00267956122357 -> Guarulhos Gov Andre Franco Montouro, Brazil
50 : 0.00263044607184 -> Shuangliu, China
51 : 0.00255200606415 -> Wujiaba, China
52 : 0.00254744529315 -> Chhatrapati Shivaji Intl, India
53 : 0.00252679685316 -> Taoyuan Intl, Taiwan
54 : 0.00251776943733 -> Orlando Intl, United States
55 : 0.0025088659515 -> Zurich, Switzerland
56 : 0.00250192559235 -> Kastrup, Denmark
57 : 0.00249420955637 -> Detroit Metro Wayne Co, United States
58 : 0.00248607728933 -> Abu Dhabi Intl, United Arab Emirates
59 : 0.00245108574617 -> Vancouver Intl, Canada
60 : 0.00244596828712 -> Washington Dulles Intl, United States
61 : 0.00244212285641 -> Philadelphia Intl, United States
62 : 0.00243275927437 -> Soekarno Hatta Intl, Indonesia
63 : 0.00242589335761 -> Phoenix Sky Harbor Intl, United States
64 : 0.00239936502059 -> Johannesburg Intl, South Africa
65 : 0.00235524413203 -> Melbourne Intl, Australia
66 : 0.0023383980695 -> General Edward Lawrence Logan Intl, United States
67 : 0.00230732786941 -> Sheremetyevo, Russia
68 : 0.00230206262164 -> Aeroparque Jorge Newbery, Argentina
69 : 0.00229841429659 -> Xianyang, China
70 : 0.00227536309596 -> Pierre Elliott Trudeau Intl, Canada
71 : 0.00221648805523 -> Fort Lauderdale Hollywood Intl, United States
72 : 0.00220546500259 -> Gardermoen, Norway
73 : 0.00220389101959 -> Ted Stevens Anchorage Intl, United States
74 : 0.00219451561384 -> Auckland Intl, New Zealand
75 : 0.00216478912727 -> Orly, France
76 : 0.00212919340975 -> Arlanda, Sweden
77 : 0.00212844013026 -> Malpensa, Italy
78 : 0.00210004857031 -> Tokyo Intl, Japan
79 : 0.00209502722917 -> Jiangbei, China
80 : 0.00207389715086 -> Jorge Chavez Intl, Peru
81 : 0.00201379270438 -> Lisboa, Portugal
82 : 0.00199885984622 -> Xiaoshan, China
83 : 0.00194203468565 -> Bethel, United States
84 : 0.00194176609862 -> King Abdulaziz Intl, Saudi Arabia
85 : 0.00193735130463 -> Helsinki Vantaa, Finland
86 : 0.0019182279468 -> Baoan Intl, China
87 : 0.00190480498012 -> Dublin, Ireland
88 : 0.00189627662974 -> Tegel, Germany
89 : 0.00184982775109 -> Presidente Juscelino Kubitschek, Brazil
90 : 0.00184281670519 -> Eleftherios Venizelos Intl, Greece
91 : 0.00180357213397 -> Jomo Kenyatta International, Kenya
92 : 0.00179036539923 -> Honolulu Intl, United States
93 : 0.00178170544062 -> Cairo Intl, Egypt
94 : 0.00174764396436 -> Gaoqi, China
95 : 0.00174702914485 -> Hongqiao Intl, China
96 : 0.00174188086898 -> Malaga, Spain
97 : 0.00171914571182 -> Doha Intl, Qatar
98 : 0.00169716650616 -> King Khaled Intl, Saudi Arabia
99 : 0.00166419939157 -> Salt Lake City Intl, United States
100 : 0.00164627617994 -> Cancun Intl, Mexico
101 : 0.00162972179418 -> Bole Intl, Ethiopia
102 : 0.00161560274367 -> Diwopu, China
103 : 0.00161533208363 -> Portland Intl, United States
104 : 0.001609115837 -> Baltimore Washington Intl, United States
105 : 0.00159905493912 -> Perth Intl, Australia
106 : 0.00159849210793 -> Huanghua, China
107 : 0.00159832222232 -> Mehrabad Intl, Iran
108 : 0.00159396372767 -> Liuting, China
109 : 0.00158100332247 -> La Guardia, United States
110 : 0.00157651165905 -> Chicago Midway Intl, United States
111 : 0.00156603041894 -> Stansted, United Kingdom
112 : 0.00156524545482 -> Tianhe, China
113 : 0.00155438007195 -> Kansai, Japan
114 : 0.00155121959842 -> Geneve Cointrin, Switzerland
115 : 0.00153141374949 -> Calgary Intl, Canada
116 : 0.00152581771086 -> Lukou, China
117 : 0.00152344798952 -> Ruzyne, Czech Republic
118 : 0.0015217092465 -> Galeao Antonio Carlos Jobim, Brazil
119 : 0.00152036084768 -> Port Moresby Jacksons Intl, Papua New Guinea
120 : 0.00150860933434 -> Ibiza, Spain
121 : 0.00148027384335 -> Tampa Intl, United States
122 : 0.00147649368198 -> Ronald Reagan Washington Natl, United States
123 : 0.00146918322289 -> Birmingham, United Kingdom
124 : 0.00146606451426 -> Alicante, Spain
125 : 0.00146319038665 -> Arturo Merino Benitez Intl, Chile
126 : 0.00146218462531 -> Faa\\'a International, French Polynesia
127 : 0.00145800986515 -> Lambert St Louis Intl, United States
128 : 0.0014465319753 -> Sabiha Gokcen, Turkey
129 : 0.00144002844176 -> Venezia Tessera, Italy
130 : 0.00141183403275 -> Stuttgart, Germany
131 : 0.00140105453403 -> Cote D\\'Azur, France
132 : 0.00139031126543 -> Hamburg, Germany
133 : 0.00135774512892 -> Tocumen Intl, Panama
134 : 0.0013569048961 -> Gran Canaria, Spain
135 : 0.00135584506883 -> Honiara International, Solomon Islands
136 : 0.00133964351051 -> Simon Bolivar Intl, Venezuela
137 : 0.00133671427995 -> Saint Exupery, France
138 : 0.00132276639089 -> San Diego Intl, United States
139 : 0.00132209486294 -> Fairbanks Intl, United States
140 : 0.00132142637868 -> Okecie, Poland
141 : 0.00130178953373 -> Edinburgh, United Kingdom
142 : 0.0012926718083 -> Netaji Subhash Chandra Bose Intl, India
143 : 0.00128725727149 -> Xinzheng, China
144 : 0.00128076724858 -> Nikos Kazantzakis, Greece
145 : 0.00126696476037 -> Provence, France
146 : 0.0012632447548 -> Ben Gurion, Israel
147 : 0.00126033588576 -> Viracopos, Brazil
148 : 0.0012546674162 -> Tansonnhat Intl, Vietnam
149 : 0.00123956051686 -> Bali Ngurah Rai, Indonesia
150 : 0.00122917499817 -> Antalya, Turkey
151 : 0.00122609404069 -> Zhoushuizi, China
152 : 0.00121463026765 -> Mohammed V Intl, Morocco
153 : 0.0012107471369 -> Glasgow, United Kingdom
154 : 0.00119758323157 -> Koln Bonn, Germany
155 : 0.00117678446195 -> Juneau Intl, United States
156 : 0.0011735322162 -> Shenyang Taoxian International Airport, China
157 : 0.00117127999207 -> Queen Alia Intl, Jordan
158 : 0.00116600864186 -> Chennai Intl, India
159 : 0.00116540636756 -> Don Muang Intl, Thailand
160 : 0.00116054024637 -> Tenerife Sur, Spain
161 : 0.00115889036443 -> Cairns Intl, Australia
162 : 0.00115591724153 -> Juan Santamaria Intl, Costa Rica
163 : 0.00114708541588 -> Deputado Luis Eduardo Magalhaes, Brazil
164 : 0.0011465540622 -> Rhodes Diagoras, Greece
165 : 0.00113972566228 -> Edmonton Intl, Canada
166 : 0.00113333995623 -> Kuwait Intl, Kuwait
167 : 0.00113281538793 -> Bangalore, India
168 : 0.00111719809069 -> Houari Boumediene, Algeria
169 : 0.00111613081736 -> Henri Coanda, Romania
170 : 0.00111380354539 -> Sioux Lookout, Canada
171 : 0.00110285313848 -> Port Vila Bauerfield, Vanuatu
172 : 0.00109947672368 -> Taiping, China
173 : 0.00109898477606 -> Jinan, China
174 : 0.00109774417343 -> Boryspil Intl, Ukraine
175 : 0.00109673118463 -> Ministro Pistarini, Argentina
176 : 0.00109176422418 -> Mashhad, Iran
177 : 0.00108078751232 -> Luis Munoz Marin Intl, Puerto Rico
178 : 0.0010800758654 -> Vnukovo, Russia
179 : 0.00107653309642 -> Nadi Intl, Fiji
180 : 0.00107291074234 -> Binhai, China
181 : 0.00106852850024 -> Seeb Intl, Oman
182 : 0.00106428347287 -> Longdongbao, China
183 : 0.00106303736342 -> Tancredo Neves Intl, Brazil
184 : 0.00105893253982 -> Cleveland Hopkins Intl, United States
185 : 0.00105212889477 -> Riga Intl, Latvia
186 : 0.0010470572754 -> Bristol, United Kingdom
187 : 0.00104419166149 -> Hasanuddin, Indonesia
188 : 0.00104360188078 -> Bergamo Orio Al Serio, Italy
189 : 0.00103982930398 -> Magenta, New Caledonia
190 : 0.00103809982632 -> Noibai Intl, Vietnam
191 : 0.00103740737728 -> Nome, United States
192 : 0.00103195026135 -> Eduardo Gomes Intl, Brazil
193 : 0.00102897119807 -> Koltsovo, Russia
194 : 0.00101964988305 -> Luton, United Kingdom
195 : 0.00100584354522 -> Mactan Cebu Intl, Philippines
196 : 0.00099766717686 -> Luqa, Malta
197 : 0.000988887869472 -> Tolmachevo, Russia
198 : 0.000977553950333 -> New Chitose, Japan
199 : 0.000972626498436 -> Adelaide Intl, Australia
200 : 0.000969502867245 -> Wuxu, China
201 : 0.000966792051713 -> Lanzarote, Spain
202 : 0.000964749953891 -> Nottingham East Midlands, United Kingdom
203 : 0.000962993930195 -> Juanda, Indonesia
204 : 0.000962626888605 -> Bandaranaike Intl Colombo, Sri Lanka
205 : 0.000960171185427 -> Faro, Portugal
206 : 0.000955796835709 -> Porto, Portugal
207 : 0.000954651141793 -> Don Miguel Hidalgo Y Costilla Intl, Mexico
208 : 0.000953111203465 -> Wusu, China
209 : 0.00095295585402 -> Kansas City Intl, United States
210 : 0.000951743033969 -> Ralph Wien Mem, United States
211 : 0.000946619386225 -> Yellowknife, Canada
212 : 0.000942405769447 -> Fukuoka, Japan
213 : 0.000941635809015 -> Darwin Intl, Australia
214 : 0.000930628770929 -> Changle, China
215 : 0.000927293988572 -> Nashville Intl, United States
216 : 0.000926148571869 -> Hyderabad, India
217 : 0.000920400191002 -> Newcastle, United Kingdom
218 : 0.000915842085275 -> Larnaca, Cyprus
219 : 0.000910455648483 -> Baita Airport, China
220 : 0.000909941813087 -> Yuzhny, Uzbekistan
221 : 0.000908025474164 -> Chubu Centrair Intl, Japan
